player,elo
Paul Coughlin,1700.6418314766106
Shane de Jong,1700.5965032003025
Prakash Jiwa,1700.5110653560996
Gilbert van der Meijden,1700.1898066124488
Maximilian Czerwinski,1699.9838335586412
Bruno Stöckli,1699.9045963169278
Jacko Barry,1699.8624885534086
Craig Caldwell,1699.588710032307
Gary Welding,1699.2858630629082
Callum Goffin,1699.246744772489
Gino Vos,1698.5611829654172
Mark Dudbridge,1698.3452639889888
Peter Mitchell,1698.014572566423
Mareno Michels,1697.9398466566327
Stuart Wares,1697.9348901265002
Wendy Reinstadtler,1697.7183747617112
Ciaran Forde,1697.552249296783
Tytus Kanik,1697.4274820832925
Lourence Ilagan,1697.2747549825083
Terry Clancy,1696.9420432651616
Pál Székely,1696.8798211512394
Luke Smith-NH,1696.847695721633
Mick McGowan,1696.4408286068428
Doug Thompson,1696.0882610971962
Christopher Holt,1695.5892274415498
Joe Lacey,1695.378635240555
Charlie Stocks,1695.354834551871
Tony Newell,1695.253854430061
Johnny Haines,1695.2281614496092
Marcel Gerdon,1695.1742659918682
Chris Aubrey,1695.0592273746715
Paul Harvey,1695.017695308459
John Imrie,1694.9170724362803
Bram van Dijk,1694.7651941925276
Tonny Veenhof,1694.7304546109983
Derk Telnekes,1693.8951127712558
Johnny Petermans,1693.2617910875142
Shaun Wilkinson,1692.9866659373365
Adam Rowe,1692.7487300434434
Scott Baker,1692.728338364693
Jan van der Rassel,1692.408053402887
Craig Gilchrist,1692.2425832564838
Paul Williams (Tyne),1692.0954684436047
Ulf Ceder,1692.0838213072775
Liam Devries,1692.0066906239026
Patrick Lynskey,1691.3098202752544
Matthew Gordon,1691.2542697472152
Steve Lovett,1690.9088013015435
Craig Galliano,1690.7771056928034
James Bailey,1690.5013027006494
David Evans,1689.906584195597
Cole Davey,1689.5759215064766
Arunas Ciplys,1689.4574468643848
Christopher Bent,1689.2295215500303
Thomas Banks,1689.187250024221
Kim Huybrechts+Ronny Huybrechts,1688.9816926940334
Mason Whitlock,1688.6235730710919
Scott Marsh,1688.394649248149
James Hubbard,1688.2799940322852
Martyn Turner,1688.237386758482
Oliver King,1688.0990775931793
Keith Rooney,1687.8325809131777
José Justicia,1687.8127616060242
Jane Densley,1687.7168167997436
Rob Hewson,1687.6438223885366
Patrick Klingelhoefer,1687.6154322984346
Ashley Coleman,1687.530768166879
Geert Nentjes,1687.484144997335
Remco van Eijden,1687.4274976660647
Jarred Cole,1687.4088689131725
Xanti Van den Bergh,1687.3444824478802
Mario Robbe,1687.250709152513
Dave Weston,1687.2088671814574
Cavan Phillips,1687.0773383872495
Kilian Hohnstedt,1687.0664862936649
Martin Adams,1686.913533349127
Steffi Luck,1686.4748939166204
Conor Heneghan,1686.3329673814865
Gary Anderson+Peter Wright,1686.0877129070602
Morihiro Hashimoto,1685.976364183476
Pat Scurfield,1685.713150668232
Trina Gulliver-MBE,1685.5869550495745
Martin Thomas,1685.4739976861363
Patrick Tringler,1685.3070618602783
Harry Miles,1685.047891296068
Andrew Cass,1684.4512982254712
John Michael,1684.3075272438928
Bernie Miller,1683.5660860536098
Kirsty Hutchinson,1683.5051876103314
Justin van Tergouw,1683.4886828250176
John Walton,1683.422576533058
Francis Hoenselaar,1683.4074210992037
David Zaruba,1683.3963692743696
Laurence Ryder,1683.2261319290958
Charles Losper,1683.2051234997605
John Ferrell,1682.5706584258987
Nicholas Bell,1682.388016050318
Kevin Troppmann,1682.1088440903163
Shawn Brenneman,1682.003492193243
Aaron Dyer,1681.8675088307891
Simon Perkins,1681.685268809975
Matthias Moors,1681.6276983776927
Barry Jouannet Jnr,1681.5517436178768
Jamie Bain,1681.491442251845
Matt Clark,1681.2733757589015
Larry Butler,1681.206923164135
Barrie Bates,1681.1810419095145
Goran Klemme,1680.9983728506754
Andy Chalmers,1680.7072087902386
Lewis Bell,1680.6602913485297
Zac Griffiths,1680.5299525708235
Jay Foreman,1680.416502117389
Mayumi Ouchi,1680.2274143749632
Dan Olson,1680.2045254705504
Stefaan de Prez,1680.077183983943
Willem Mandigers,1679.7382121248063
Liam Kelly,1679.6130528923184
Joey ten Berge,1679.321348045319
Stephen Willard,1678.965706001264
Stuart Dutton,1678.8214783745038
Aidan O'Hara,1678.3340272466085
Paul Barham,1677.866733231871
Jason Heaver,1677.8078473381167
Stuart Kellett,1677.6746390865833
Kenny Neyens,1677.6359958936605
Per Laursen,1677.582418497108
Steve McArthur,1677.4714124675784
Ricardo Perez-Ibarra,1677.2068348490411
Daan Bastiaansen,1676.8582239340003
Tony Randell,1676.1329933039917
Jason Brandon,1675.953935853296
Glenn Spearing,1675.6966640635164
Umit Uygunsozlu,1675.63077401094
Ben Cheeseman,1675.5525224575927
Noah Roeschlein,1675.0095708561773
Daniel Stephenson,1674.9445340247091
Sean Palfrey,1674.7608445702963
John Brown,1674.3432092536134
Ray Carver,1674.2596857608946
Finley Pember,1673.9990005525167
Harry Lane,1673.9598154380665
Raymond van Barneveld+Co Stompe,1673.8011215298702
Joshua Richardson,1673.7002031629
Hannes Schnier,1673.6366273533295
Leon de Geus,1673.5560800239182
Ronald L Briones,1673.4596581802311
Filip Ljubenko,1673.4059909097625
Vitezslav Sedlak,1673.250331504154
Damien O Driscoll,1672.8596286012553
John Norman-Jnr,1672.7906520170718
Anthony Broughton,1672.6833105571723
Simon Whatley,1672.4432054685972
Braulio Roncero,1672.2647752795235
Adrian Gray,1671.9392820794776
Darren Johnson,1671.9346668128662
Rebecca Rose,1671.7704526268337
Simon Cunningham,1671.642511149941
Lauren Bloomfield,1671.5368303106202
Dave Richardson,1671.2800924230141
Ralfs Laumanis,1671.1173265250802
Keith Geraghty,1670.874467439657
Devon Petersen,1670.6336622342155
Willem Kralt,1670.4664097222108
Ryan Craddock,1670.2949172223716
Mark Holden,1670.2487279346255
Jason Askew,1670.2422453529655
Les Wallace,1670.0419030024734
Joanne Locke,1669.8607816172043
Wouter Vaes,1669.6704228479261
Jitka Cisarova,1669.652563131209
Rene Berndt,1669.5796212810963
David Sumner,1669.4204826012844
Felix Springer,1669.3251766134977
Paulo Ferreira,1669.268842557901
Jason Cullen,1669.178444311421
Steve Fitzpatrick,1669.0194164464306
Martin Heneghan,1668.9636079869317
Oliver Ferenc,1668.9252570048118
Dylan Powell,1668.711593087361
Bob Anderson,1668.5706074958766
Kostas Pantelidis,1668.5528923798472
Kevin Dowling,1668.3911139214374
Paul Watton,1668.29694223157
Jules van Dongen,1668.2593757711895
Netherlands,1668.2483906165571
Dawson Murschell,1668.214691761316
Reece Colley,1667.8772627853994
Kyle Richardson,1667.8196718996294
Peter Hudson,1667.7898684017025
Luke Van der Kwast,1667.6364316058502
Michael Rasztovits,1667.5788590254897
Carl Beattie,1667.4659972178522
Cameron Anderson,1667.230458793878
Martin Marti,1667.1807334019672
Carl Batchelor,1667.1289649971557
Ciaran Teehan,1666.9784246742895
Frans Harmsen,1666.935907003264
Maria O'Brien,1666.8767772259835
Jason Lovett,1666.8298980708048
Mason Teese,1666.658868332393
Pim Van Bijnen,1666.5398444832597
Jason Clark,1666.5290813881822
Adrian Devine,1666.3234897838554
Colin Lloyd,1666.0070536379008
Mark Frost,1665.8777727054087
Pero Ljubic,1665.6652186675328
Michael Rosenauer,1665.519951842965
Darren Clifford,1665.2619436856435
Dennis te Kloese,1665.1671663754712
Robert Thornton,1664.4759133204816
Robert Parker,1664.453660391608
Steffen Siepmann,1664.3154948065694
Jac Proosten,1664.1607027790178
Stuart Harding,1663.579454087854
Martin Murphy,1663.4750910910645
Jacob Gwynne,1663.2836957572158
Nathan Girvan,1663.2391957776192
James Welding,1663.1215158346417
Alex Jacques,1663.0918353833738
Paolo Nebrida,1663.0862402339785
Kay Smeets,1663.0078503832674
Joe Murnan,1662.9322629508963
Michael Meaney,1662.7277039592009
Jamie Caven,1662.1447580562972
Richie Burnett,1661.9507135357194
Marko Kantele,1661.8658763660126
Mitchell Leeming,1661.545872579201
Richard North,1661.4492540739475
Kevin Edwards,1661.3771582031643
Steve Smith,1661.2625898879303
Shaun Griffiths,1661.1883090185884
Deian Roberts,1661.1111635261398
Cliff Prior,1661.1091342338746
Lennert Faes,1660.938541352326
Paul Phillips,1660.7944325443914
Robbie King,1660.7149417616233
Johny Okken,1660.530396488787
Mark Tabak,1660.5210647562546
Steve Alker,1660.2946886748725
Simon Preston,1660.129648351385
Terry Roach,1659.7321692387982
David Fatum,1659.661782407596
Robert Kef,1659.4435605291349
Julie Gore,1659.4308106696146
Craig Gwynne,1659.3747783630813
Tommy Wilson (Young),1659.3238805848114
Thomas Cromwell,1659.287363484442
Willard Bruguier III,1659.268966834373
Ricardo Ulrich,1659.148380013022
Steven Kirkby,1659.023553330013
Kai-Fan Leung,1658.9499731520302
Vincent van der Meer,1658.8188110798249
Zac Prince,1658.5686259003667
Joppe Bakens,1658.3191561758563
Wayne Mardle,1657.9458937115644
Byron Garner,1657.8858151754262
Rune David,1657.8089189934492
Niels Vanbergen,1657.3682077070937
Jason Marriott,1657.3553200471702
Kaya Baysal,1657.278420867706
Tony O'Shea,1657.202763704006
Paul Knighton,1657.040869308474
Frank Mast,1656.994605416209
Carl Hamilton,1656.5795030193935
Tom Kirby,1656.1988464628653
Charl Pietersen,1656.1403320201055
Mark Cleaver,1656.0010013250774
Ricardo Perez,1655.9551671455317
James Parkin,1654.7951592115228
Jamie McKinnon,1654.5155606898772
Derek MacLean,1654.4896346315563
David Schlichting,1654.4650405746186
Aletta Wajer,1654.4012702413781
Jade Gofford,1654.3613751253997
Roger Carter,1654.0619967901137
Johan Engström,1653.9283005688471
Kevin Thomas,1653.8099306873455
Josh Jones,1653.2748031509611
Andy Brown,1653.2648614833151
Callum Francis,1653.169988724744
Kevin de Vries,1652.8562481298673
Justin Thompson,1652.6007259822345
Kayden Milne,1652.5608269755337
Tony Mitchell,1652.0499248179585
Kristiaan de Boer,1651.9395177970382
Felicia Blay,1651.9257296708536
Anton Pein,1651.712445028833
Ben Burton,1651.4554935845676
Frantisek Humpula,1651.3374048154096
Jack Male,1651.2798575626355
Diogo Portela,1651.0272077819736
Dennis Lindskjold,1650.9565001164929
Darren Webster,1650.9136597840663
Marc Dewsbury,1650.6574890407219
Mark Harris,1650.5954578483995
Robin Beger,1650.5667705051635
Jyhan Artut,1650.5377576578926
Joanne Oldershaw,1650.4876317189683
George Gardner,1650.413775093843
Irina Armstrong,1650.3825855907758
Bradly Roes,1650.3679448025484
Wales,1650.0077033248856
Scotty Burnett,1649.8542684259207
Jacques Labre,1649.677588210963
