player,rating,games_played,win_prob_vs_avg,elo_equivalent
Andy Boulton,1.960633843363212,1013,0.8766015324545329,1840.596983682163
Darryl Pilgrim,1.956439393440716,414,0.8761470962357141,1839.8683330997792
Matthew Dennant,1.954746672779064,742,0.8759632964421622,1839.5742774026755
Llew Bevan,1.95207966466131,190,0.8756732310678863,1839.1109706391828
Robert Owen,1.9493640141015351,620,0.8753772774648364,1838.6392138180277
Lukas Wenig,1.9459448846315834,469,0.8750037991541669,1838.0452501933426
Florian Hempel,1.9405755670457845,320,0.8744153619292645,1837.1125041937032
Martijn Kleermaker,1.9320730987485342,361,0.8734787030469873,1835.635474168082
Jack Tweddell,1.9269856775625933,397,0.8729154044431602,1834.7516985888133
David Pallett,1.9108750292581373,776,0.87111742092282,1831.9529923254095
Cor Dekker,1.910760187803017,143,0.8711045269095371,1831.9330423213084
Wesley Harms,1.9098058251125072,528,0.870997331744811,1831.7672525412195
Jenson Walker,1.9097909539628386,349,0.870995660798644,1831.7646691579232
Maik Kuivenhoven,1.9095699049366774,455,0.8709708212024588,1831.7262690090065
Cody Harris,1.9057356301180843,403,0.8705393096516425,1831.0601872506802
Shane McGuirk,1.9030539353078568,428,0.8702367805500703,1830.5943291473882
Darius Labanauskas,1.90301362601488,889,0.8702322285662593,1830.5873267059842
Kyle Anderson,1.898693243724778,681,0.8697435551212935,1829.8367994306627
Dimitri van den Bergh,1.8897926486724077,1368,0.8687318866883113,1828.2906077039029
Viktor Tingstrom,1.8887450053440082,233,0.868612370642005,1828.1086134172922
Lorraine Winstanley,1.8885664066988497,806,0.8685919867439842,1828.077587654865
Stefan Bellmont,1.887937852527003,459,0.8685202269809879,1827.968396611501
Ted Evetts,1.8809668308194454,1186,0.8677221391727031,1826.757406107173
Nathan Rafferty,1.8786783585986544,1080,0.8674592462354744,1826.3598577641817
Leon Weber,1.8597802460993105,204,0.8652713318858601,1823.076919373441
James Beeton,1.8561191028295139,495,0.8648439562644445,1822.4409136456288
Scott Waites,1.8313083898150553,949,0.8619175195192416,1818.130851343923
Adam Lipscombe,1.8263123294618842,174,0.8613218339970447,1817.262946766868
Dennie Olde Kalter,1.8180325141659628,258,0.8603298768225398,1815.8245955291893
Dragutin Horvat,1.8019791627593593,320,0.8583896865448838,1813.0358427564126
Matt Campbell,1.8015404774671593,333,0.858336352966,1812.9596353157347
Graham Hall,1.7941831586584696,328,0.8574393786253112,1811.6815381316478
Daniel Ayres,1.7900079053966949,367,0.8569282457418973,1810.956222350793
Tyler Thorpe,1.7852812280857897,150,0.856347766338263,1810.1351144012476
Kirsi Viinikainen,1.7725922873209294,274,0.8547797511649864,1807.9308196190973
Mark Webster,1.7684947021324204,1212,0.8542703726819832,1807.218996164498
Paul Nicholson,1.757291642885792,1014,0.8528701330118122,1805.2728254399997
Nathan Potter,1.7536332924656375,422,0.8524104805730455,1804.637304879863
Martijn Dragt,1.7518079307335468,276,0.8521806898023891,1804.3202070687735
Cristo Reyes,1.751398501985408,442,0.8521291071328353,1804.2490820103535
Jarkko Komula,1.744415713696767,266,0.8512470750582796,1803.0360474415315
Deta Hedman,1.7438363166998205,1063,0.8511736936964271,1802.9353958740894
